NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Other_desigs,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
,,,16.8,0.15,121.0,0.22,0.0,2009-2020,M-v,38h,,,2014 OZ50,,2459200.5,347.29934,292.08908,115.44159,3.6992,0.1235955,0.18489575,3.0515331,E2020-X30,6,MPCLINUX,0400,2020-12-05,2459269.19094,5.3306127,2.6743773,3.4286889,1.5024592,1.2309142,MBA
,,,16.0,0.15,144.0,0.33,0,2006-2019,M-v,38h,(336468),,2008 VO7,,2459200.5,334.72919,35.72789,302.53648,8.37753,0.1199163,0.22982864,2.6395706,MPO471492,9,MPCLINUX,0000,2019-04-06,2459310.45503,4.2884458,2.3230431,2.9560981,1.3008069,1.304095,MBA
,,,16.8,0.15,171.0,0.32,0.0,2009-2021,M-v,38h,,,2011 LR34,,2459200.5,14.03074,202.06597,152.13493,14.20004,0.2212187,0.21509103,2.7588062,E2021-A62,10,MPCLINUX,0400,2021-01-07,2459135.26835,4.5822818,2.1485067,3.3691057,1.3118983,1.2791517,MBA
,,,17.0,0.15,116.0,0.25,0.0,2004-2019,M-v,38h,(418411),,2008 LH3,,2459200.5,226.30053,147.59857,170.66127,13.29714,0.0590349,0.22023072,2.7157145,MPO528468,11,Williams,0000,2019-12-21,2459807.58825,4.4753414,2.5553926,2.8760364,1.353125,1.2877415,MBA
,,,17.8,0.15,156.0,0.3,0,2006-2021,M-v,38h,,,2013 WN46,,2459200.5,10.21045,269.35576,100.7479,3.18772,0.2192003,0.27156899,2.3616522,E2021-A42,6,MPCLINUX,0400,2021-01-06,2459162.90199,3.6293087,1.8439773,2.8793271,1.1240889,1.3803281,MBA
,,,17.79,0.15,211.0,0.55,0.0,1993-2020,M-v,3Ek,(410267),,2007 TV141,,2459200.5,303.2197,180.59257,189.65732,5.43086,0.1820162,0.28413264,2.2915111,E2021-B25,10,Pan,0000,2020-06-16,2459400.33733,3.4688295,1.874419,2.7086032,1.1077968,1.4050503,MBA
,,,16.4,0.15,48.0,0.32,0.0,2010-2020,M-v,38h,,,2010 AF134,,2459200.5,59.1206,216.97141,239.56374,11.93388,0.1950656,0.17922878,3.1155224,E2020-V70,6,Veres,0000,2020-02-15,2458870.63877,5.4991595,2.5077912,3.7232536,1.4984875,1.2222637,MBA
,,,14.19,0.15,1161.0,0.54,0,1994-2020,M-v,3Ek,(59904),,1999 RR149,,2459200.5,231.94039,139.18996,285.60788,0.78627,0.1323314,0.17689528,3.1428613,E2021-B10,18,Pan,0000,2020-07-21,2459924.42925,5.5717013,2.7269621,3.5587605,1.5439124,1.218737,MBA
,,,18.9,0.15,71.0,0.28,0,2006-2019,M-v,38h,,,2006 SH268,,2459000.5,34.9753,101.77973,297.90119,2.51215,0.1852727,0.29811616,2.2192814,MPO543108,4,Rudenko,0400,2019-09-25,2458883.17893,3.3061196,1.8081091,2.6304537,1.0715512,1.4336289,MBA
,,,16.4,0.15,467.0,0.41,0,1960-2019,M-v,38h,(125140),,2001 UG63,,2459200.5,41.01651,204.51417,219.54289,1.94408,0.1675591,0.26587187,2.3952699,MPO493715,16,Williams,0000,2019-09-03,2459046.22824,3.7070777,1.9939206,2.7966192,1.1640101,1.369402,MBA
1.0,1.0,,17.4,0.15,153.0,0.48,2,2005-2015,M-h,3Eh,(438116),,2005 NX44,,2459200.5,264.84645,215.06158,308.95155,36.64391,0.9075115,0.29914194,2.2142051,MPO349158,4,MPCLINUX,5803,2015-09-20,2459518.58834,3.2947826,0.2047885,4.2236217,0.1953182,1.4357711,Apollo
,,,15.13,0.15,646.0,0.51,0,1997-2020,M-v,3Ek,(133004),,2002 TU290,,2459200.5,222.56184,154.90886,248.17847,8.93968,0.1014117,0.19696757,2.9255413,E2021-B55,16,Pan,0000,2020-06-24,2459898.27075,5.0039084,2.6288572,3.2222254,1.447727,1.249756,MBA
,,,16.2,0.15,107.0,0.21,0,2006-2020,M-v,38h,,,2006 TZ133,,2459000.5,246.24525,278.76603,67.24757,10.40437,0.0224105,0.18366241,3.0651791,E2020-OA3,8,MPCLINUX,0400,2020-06-24,2459619.86874,5.3664092,2.9964869,3.1338713,1.5318198,1.2290211,MBA
,,,18.7,0.15,95.0,0.24,0.0,1999-2018,M-v,38h,,,2016 UF214,,2459200.5,267.56485,6.17458,165.07979,1.62649,0.1350501,0.25958051,2.4338174,E2020-TF9,5,Veres,0000,2018-04-13,2459556.59435,3.7969247,2.1051301,2.7625047,1.1947141,1.3575355,MBA
,,,15.3,0.15,686.0,0.43,0,2001-2019,M-v,38h,(109882),,2001 SM2,,2459200.5,338.71523,301.4742,141.50808,2.42899,0.0720666,0.21045208,2.7991998,MPO493619,14,Williams,0000,2019-08-28,2459301.63836,4.6832878,2.597471,3.0009286,1.3923309,1.2714966,MBA
,,,16.6,0.15,70.0,0.5,1.0,2010-2020,M-v,38h,,,2010 RN135,['2020 JB10'],2459000.5,320.41192,83.84773,211.38779,21.47783,0.1634877,0.17899647,3.1182175,E2020-OA3,4,MPCLINUX,0400,2020-07-17,2459221.66691,5.5062967,2.6084273,3.6280077,1.5174365,1.2219117,MBA
,,,16.5,0.15,85.0,0.39,0.0,2007-2020,M-v,38h,,,2010 EJ31,,2459000.5,189.97119,338.54565,348.3777,11.41533,0.0969516,0.18876966,3.0096402,MPO543530,8,MPCLINUX,0400,2020-03-22,2459901.22136,5.2212185,2.7178508,3.3014296,1.4906754,1.2368984,MBA
